NOTE  |
NOTE  |         »  Drag.BDrag.EDrag Event  «
NOTE  |           - -- -- -- -- -- -- -- -- -- -- -- -- -- -- -
NOTE  |            16B.Drag  3Drag  2E.Drag
NOTE  |                   4 Rage + 1 Clone
NOTE  |           - -- -- -- -- -- -- -- -- -- -- -- -- -- -- -
NOTE  |           CC: Balloons + Rage/Haste
NOTE  |           - -- -- -- -- -- -- -- -- -- -- -- -- -- -- -
NOTE  |          Set External Edge for Redline
NOTE  |           - -- -- -- -- -- -- -- -- -- -- -- -- -- -- -
NOTE  |
NOTE  |                E l o y     E d i T i o N

      |_TROOPNAME_|__FLEXIBLE_|____TH06___|____TH07___|____TH08___|____TH09___|____TH10___|____TH11___|____TH12___|
TRAIN |Ball       |0          |0          |0          |0          |0          |12         |12         |16         |
TRAIN |BabyD      |0          |0          |0          |0          |0          |12         |14         |14         |
TRAIN |Lava       |0          |0          |0          |0          |0          |2          |2          |2          |

TRAIN |RSpell     |0          |0          |0          |0          |0          |3          |4          |4          |
TRAIN |CSpell     |0          |0          |0          |0          |0          |1          |1          |1          |
TRAIN |HaSpell    |0          |0          |0          |0          |0          |1          |0          |0          |

      |_TROOPNAME_|___________|____TH06___|____TH07___|____TH08___|____TH09___|____TH10___|____TH11___|____TH12___|Hero Abilities: 1.Auto 2.Timed 3.Both
TRAIN |King       |0          |0          |0          |0          |0          |1          |1          |1          |Auto
TRAIN |Queen      |0          |0          |0          |0          |0          |1          |1          |1          |Auto
TRAIN |Warden     |0          |0          |0          |0          |0          |0          |315        |315        |Both: Auto or Timed After 15 sec.

      |___________|___________|____TH06___|____TH07___|____TH08___|____TH09___|____TH10___|____TH11___|____TH12___|
REDLN |0          |0          |0          |0          |0          |0          |4          |4          |4          |1.RAW 2.POINTS 3.ORIGINAL 4.EDGES
DRPLN |0          |0          |0          |0          |0          |0          |0          |0          |0          |1.CORNER 2.POINT 3.FULLCORNER 4.FULLPOINT 5.NONE
      |___________|___________|____TH06___|____TH07___|____TH08___|____TH09___|____TH10___|____TH11___|____TH12___|
CCREQ |           |           |           |           |           |       |balloon haste|balloon rage|balloon rage|Request Donation.

	  |EXTR. GOLD |EXTR.ELIXIR|EXTR. DARK |DEPO. GOLD |DEPO.ELIXIR|DEPO. DARK |TOWNHALL   |FORCED SIDE|
SIDE  |0          |0          |0          |0          |0          |0          |10         |           |
      |EAGLE      |INFERNO    |XBOW       |WIZTOWER   |MORTAR     |AIRDEFENSE |GEMBOX     |GEMBOX     |
SIDEB |10         |5          |0          |0          |0          |0          |0          |0          |

      |VECTOR_____|SIDE_______|DROP_POINTS|ADDTILES___|VERSUS_____|RANDOMX_PX_|RANDOMY_PX_|BUILDING___|
MAKE  |A          |FRONT-LEFT |10         |2          |EXT-INT    |1          |3          |           | Baby Dragon .........
MAKE  |B          |FRONT-RIGHT|10         |2          |INT-EXT    |1          |3          |           | Baby Dragon .........
MAKE  |D          |FRONT-LEFT |10         |0          |EXT-INT    |1          |3          |           | Warden, CC, Balloon .
MAKE  |E          |FRONT-RIGHT|10         |0          |INT-EXT    |1          |3          |           | LavaH, Balloon ......
MAKE  |H          |LEFT-FRONT |10         |0          |EXT-INT    |1          |3          |           | BA.King, Remain .....
MAKE  |I          |RIGHT-FRONT|10         |0          |EXT-INT    |1          |3          |           | AR.Queen, Remain ....
MAKE  |J          |FRONT-LEFT |10         |-8         |INT-EXT    |0          |3          |           | 2nd Rage ............
MAKE  |K          |FRONT-RIGHT|10         |-8         |INT-EXT    |0          |3          |           | 1st Rage, Haste .....
MAKE  |L          |FRONT-LEFT |10         |-5         |EXT-INT    |0          |3          |           | Clone Spell .........
MAKE  |M          |FRONT-LEFT |10         |-17        |INT-EXT    |0          |3          |           | 3rd Rage ............
MAKE  |N          |FRONT-RIGHT|12         |-18        |INT-EXT    |0          |3          |           | 4th Rage, 2nd Haste .
MAKE  |O          |FRONT-RIGHT|10         |-23        |INT-EXT    |0          |3          |           | 3rd Haste ...........

      |VECTOR_____|INDEX_____________|QTY_X_VECT_|TROOPNAME__|DELAY_DROP_|DELAYCHANGE|SLEEPAFTER_|___________|
DROP  |A          |3,4,5,6,7,8,9,10  |8          |BabyD      |40-60      |40-70      |0          |           |
DROP  |B          |1,2,3,4,5,6,7,8   |8          |BabyD      |40-60      |40-70      |250        |           |
DROP  |D          |10                |1          |Warden     |40-60      |30-50      |250        |           |
DROP  |E          |4                 |1          |EDrag      |60-80      |60-80      |70         |           |
DROP  |D          |7                 |1          |EDrag      |60-80      |70-80      |250        |           |
DROP  |D          |6,10              |2          |Drag       |60-80      |50-70      |70         |           |
